wavelengths;phytoplankton;cryptophyta;cyanobacteria;diatoms;dinoflagellates;green algae;brown algae;cyanobacteria blue;cyanobacteria red
568;0.0132;0.008909;0.0267;0.011235617;0.018934;0.006098;0.00732972;0.008543269;0.039244673
569;0.0131;0.008688;0.026326;0.011149997;0.018782;0.006158;0.007325839;0.008725592;0.038648203
570;0.013;0.00845;0.025816;0.011067995;0.018633;0.006224;0.007321958;0.008907916;0.038051733
571;0.0129;0.008191;0.025185;0.010989263;0.018485;0.006294;0.007360708;0.009101304;0.036954285
572;0.0127;0.007909;0.024407;0.010913518;0.018342;0.006368;0.007399458;0.009294693;0.035856838
573;0.0126;0.007607;0.023475;0.010840348;0.018199;0.006447;0.007462709;0.009494231;0.034415118
574;0.0125;0.007291;0.022459;0.010769422;0.018061;0.006529;0.007525959;0.009693769;0.032973399
575;0.0123;0.006958;0.021316;0.01070036;0.017925;0.006613;0.007599329;0.0098926;0.031288442
576;0.0122;0.006607;0.020085;0.010632752;0.017791;0.0067;0.007672699;0.010091431;0.029603484
577;0.012;0.006257;0.018855;0.010566408;0.01766;0.006787;0.007743962;0.010284956;0.02779117
578;0.0119;0.005908;0.017625;0.010500949;0.017531;0.006874;0.007815225;0.010478481;0.025978857
579;0.0117;0.00556;0.016397;0.01043609;0.017406;0.00696;0.007896641;0.010664358;0.024169919
580;0.0116;0.00522;0.015171;0.01037172;0.017282;0.007044;0.007978056;0.010850236;0.022360982
581;0.0114;0.004886;0.014053;0.01030762;0.017161;0.007124;0.008087184;0.011033568;0.020853399
582;0.0113;0.004563;0.013078;0.010243756;0.017044;0.0072;0.008196311;0.011216901;0.019345815
583;0.0111;0.004254;0.012158;0.010180145;0.016928;0.00727;0.008303938;0.011391662;0.018063748
584;0.011;0.003966;0.011317;0.010116772;0.016816;0.007334;0.008411565;0.011566423;0.016781682
585;0.0109;0.003702;0.010565;0.010053809;0.016704;0.00739;0.008493738;0.011729421;0.015754316
586;0.0107;0.003459;0.009906;0.009991493;0.016597;0.007438;0.008575911;0.011892419;0.01472695
587;0.0106;0.003239;0.009356;0.009930079;0.016492;0.007478;0.008611695;0.012044902;0.013969472
588;0.0105;0.003041;0.008927;0.009869944;0.01639;0.00751;0.00864748;0.012197385;0.013211993
589;0.0104;0.002865;0.008576;0.009811358;0.01629;0.007534;0.008644275;0.012345037;0.012725591
590;0.0103;0.002709;0.008304;0.009754873;0.016193;0.007549;0.00864107;0.012492688;0.012239189
591;0.0102;0.002573;0.008082;0.0097009;0.016099;0.007559;0.008598589;0.01264349;0.011961221
592;0.0101;0.002455;0.007898;0.009650008;0.016007;0.007562;0.008556107;0.012794292;0.011683253
593;0.01;0.002354;0.007776;0.009602782;0.015918;0.00756;0.008461257;0.012947471;0.011506903
594;0.0099;0.002269;0.007676;0.009559711;0.015833;0.007556;0.008366406;0.013100651;0.011330552
595;0.0098;0.002199;0.007591;0.00952138;0.01575;0.007549;0.008248476;0.01326059;0.011211856
596;0.0097;0.002145;0.007517;0.009488421;0.01567;0.007541;0.008130546;0.013420529;0.01109316
597;0.0097;0.002106;0.007455;0.009461372;0.015594;0.007534;0.00801991;0.013592771;0.011018689
598;0.0096;0.002082;0.00742;0.009440784;0.01552;0.00753;0.007909274;0.013765013;0.010944219
