Specific absorption coefficients of seven phytoplankton types.								
Brown group, Green group, Cryptophyta, Cyanobacteria blue and red, Coccolithophores and Case-1 are from the supplemental data of [1]. Values > 720 nm are filled using the closest value.								
Dinflagellates is from WASI [2] and derived from pure cultures grown in the laboratory [4,5,6].								
								
[1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]								
[2] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.								
[4] Gege (1994): Gew�sseranalyse mit passiver Fernerkundung: Ein Modell zur Interpretation optischer Spektralmessungen. PhD thesis. DLR-Forschungsbericht 94-15, 171 p								
[5] Gege (1995): Water analysis by remote sensing: A model for the interpretation of optical spectral measurements. Technical Translation ESA-TT-1324, 231 pp.								
[6] Gege (1998): Correction of specular reflections at the water surface. Ocean Optics XIV, Conference Papers, Vol. 2.								

								
wavelength_nm,Brown group,Green group,Cryptophyte,Cyanobacteria blue,Cyanobacteria red,Coccolithophore,Dinoflagellates,Case-1
706,0.001484517,0.003479831,0.003214052,0.003199544,0.002804016,0.002496157,0.011722,0.00216396887258009
708,0.001316857,0.002884973,0.002664628,0.002652599,0.002324685,0.002069452,0.011343,0.00197378481636572
710,0.001203386,0.002393068,0.002210292,0.002200315,0.001928312,0.001716598,0.011006,0.00183357563923409
712,0.001096097,0.001986079,0.001834389,0.001826108,0.001600364,0.001424657,0.010705,0.00174547095673118
714,0.001012451,0.001649169,0.001523211,0.001516335,0.001328885,0.001182984,0.010434,0.00166159977019802
716,0.000945343,0.001370124,0.001265478,0.001259765,0.001104033,0.000982819,0.010191,0.00158175865698309
718,0.000906585,0.001138882,0.001051898,0.001047149,0.000917701,0.000816944,0.00997,0.00150575396904562
720,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.009768,0.00143340136327819
722,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.009582,0.00143340136327819
724,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.00941,0.00143340136327819
726,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.009251,0.00143340136327819
728,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.009104,0.00143340136327819
730,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.008967,0.00143340136327819
732,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.008838,0.00143340136327819
734,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.008717,0.00143340136327819
736,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.008603,0.00143340136327819
738,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.008495,0.00143340136327819
740,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.008393,0.00143340136327819
742,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.008296,0.00143340136327819
744,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.008203,0.00143340136327819
746,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.008114,0.00143340136327819
748,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.008029,0.00143340136327819
750,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.007949,0.00143340136327819
752,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.007871,0.00143340136327819
754,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.007796,0.00143340136327819
756,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.007724,0.00143340136327819
758,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.007654,0.00143340136327819
760,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.007587,0.00143340136327819
762,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.007523,0.00143340136327819
764,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.00746,0.00143340136327819
766,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.007399,0.00143340136327819
768,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.007339,0.00143340136327819
770,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.007282,0.00143340136327819
772,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.007226,0.00143340136327819
774,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.007172,0.00143340136327819
776,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.007119,0.00143340136327819
778,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.007068,0.00143340136327819
780,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.007018,0.00143340136327819
782,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.006969,0.00143340136327819
784,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.006921,0.00143340136327819
786,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.006874,0.00143340136327819
788,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.006828,0.00143340136327819
790,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.006784,0.00143340136327819
792,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.00674,0.00143340136327819
794,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.006698,0.00143340136327819
796,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.006656,0.00143340136327819
798,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.006615,0.00143340136327819
800,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.006574,0.00143340136327819
802,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.006535,0.00143340136327819
804,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.006543,0.00143340136327819
806,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.0,0.00143340136327819
808,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.0,0.00143340136327819
810,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.0,0.00143340136327819
812,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.0,0.00143340136327819
814,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.0,0.00143340136327819
816,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.0,0.00143340136327819
818,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.0,0.00143340136327819
820,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.0,0.00143340136327819
822,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.0,0.00143340136327819
824,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.0,0.00143340136327819
826,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.0,0.00143340136327819
828,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.0,0.00143340136327819
830,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.0,0.00143340136327819
832,0.00086618,0.000947155,0.000874814,0.000870865,0.000763209,0.000679415,0.0,0.00143340136327819
