Specific scattering coefficients of seven phytoplankton types from the supplemental data of [1]. Values > 720 nm are filled using the closest value.

[1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]


wavelength_nm,Brown group,Green group,Cryptophyte,Cyanobacteria blue,Cyanobacteria red,Coccolithophore,Phytoplankton Case 1
824,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
825,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
826,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
827,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
828,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
829,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
830,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
831,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
832,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
833,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
834,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
835,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
836,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
837,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
838,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
839,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
840,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
841,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
842,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
843,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
844,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
845,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
846,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
847,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
848,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
849,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
850,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
851,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
852,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
853,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
854,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
855,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
856,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
857,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
858,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
